Field2,Time,"Tweets
",Comments,Retweets,Likes,tokenized_tweets,tweets_no_sw,tweets_stemmed,tweet_lemma
kenya power,20230301t044445000z,good morning follow this link to understand your bill ,506.0,37.0,216.0,"['good', 'morning', 'follow', 'this', 'link', 'to', 'understand', 'your', 'bill', '']","['good', 'morning', 'follow', 'link', 'understand', 'bill', '']","['good', 'morn', 'follow', 'link', 'understand', 'bill', '']","['good', 'morn', 'follow', 'link', 'understand', 'bill', '']"
kenya power,20230402t172829000z,hello please be advised the following areas will be under scheduled maintenance tomorrow 03042023 db,22.0,9.0,22.0,"['hello', 'please', 'be', 'advised', 'the', 'following', 'areas', 'will', 'be', 'under', 'scheduled', 'maintenance', 'tomorrow', '03042023', 'db']","['hello', 'please', 'advised', 'following', 'areas', 'scheduled', 'maintenance', 'tomorrow', '03042023', 'db']","['hello', 'pleas', 'advis', 'follow', 'area', 'schedul', 'mainten', 'tomorrow', '03042023', 'db']","['hello', 'plea', 'advis', 'follow', 'area', 'schedul', 'mainten', 'tomorrow', '03042023', 'db']"
kenya power,20230329t174827000z,hello these areas will be affected by scheduled power interruptions tomorrow bt,215.0,98.0,231.0,"['hello', 'these', 'areas', 'will', 'be', 'affected', 'by', 'scheduled', 'power', 'interruptions', 'tomorrow', 'bt']","['hello', 'areas', 'affected', 'scheduled', 'power', 'interruptions', 'tomorrow', 'bt']","['hello', 'area', 'affect', 'schedul', 'power', 'interrupt', 'tomorrow', 'bt']","['hello', 'area', 'affect', 'schedul', 'power', 'interrupt', 'tomorrow', 'bt']"
kenya power,20230328t173659000z,good evening the listed areas will be affected by planned power interruptions tomorrow 29th march 2023 the interruption is part of network maintenance for the advance notice use ,262.0,65.0,132.0,"['good', 'evening', 'the', 'listed', 'areas', 'will', 'be', 'affected', 'by', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'the', 'interruption', 'is', 'part', 'of', 'network', 'maintenance', 'for', 'the', 'advance', 'notice', 'use', '']","['good', 'evening', 'listed', 'areas', 'affected', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'interruption', 'part', 'network', 'maintenance', 'advance', 'notice', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']"
kenya power,20230329t174827000z,hello these areas will be affected by scheduled power interruptions tomorrow bt,215.0,98.0,231.0,"['hello', 'these', 'areas', 'will', 'be', 'affected', 'by', 'scheduled', 'power', 'interruptions', 'tomorrow', 'bt']","['hello', 'areas', 'affected', 'scheduled', 'power', 'interruptions', 'tomorrow', 'bt']","['hello', 'area', 'affect', 'schedul', 'power', 'interrupt', 'tomorrow', 'bt']","['hello', 'area', 'affect', 'schedul', 'power', 'interrupt', 'tomorrow', 'bt']"
kenya power,20230328t173659000z,good evening the listed areas will be affected by planned power interruptions tomorrow 29th march 2023 the interruption is part of network maintenance for the advance notice use ,262.0,65.0,132.0,"['good', 'evening', 'the', 'listed', 'areas', 'will', 'be', 'affected', 'by', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'the', 'interruption', 'is', 'part', 'of', 'network', 'maintenance', 'for', 'the', 'advance', 'notice', 'use', '']","['good', 'evening', 'listed', 'areas', 'affected', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'interruption', 'part', 'network', 'maintenance', 'advance', 'notice', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']"
the kenya power  lighting company plc,20230328t104726000z,"tips for writing a successful tender response include the following

 use of the templates provided in the tender document without making changes
 keeping the tender document clear logical and well organised

",95.0,9.0,54.0,"['tips', 'for', 'writing', 'a', 'successful', 'tender', 'response', 'include', 'the', 'following', 'use', 'of', 'the', 'templates', 'provided', 'in', 'the', 'tender', 'document', 'without', 'making', 'changes', 'keeping', 'the', 'tender', 'document', 'clear', 'logical', 'and', 'well', 'organised', '']","['tips', 'writing', 'successful', 'tender', 'response', 'include', 'following', 'use', 'templates', 'provided', 'tender', 'document', 'without', 'making', 'changes', 'keeping', 'tender', 'document', 'clear', 'logical', 'well', 'organised', '']","['tip', 'write', 'success', 'tender', 'respons', 'includ', 'follow', 'use', 'templat', 'provid', 'tender', 'document', 'without', 'make', 'chang', 'keep', 'tender', 'document', 'clear', 'logic', 'well', 'organis', '']","['tip', 'write', 'success', 'tender', 'respons', 'includ', 'follow', 'use', 'templat', 'provid', 'tender', 'document', 'without', 'make', 'chang', 'keep', 'tender', 'document', 'clear', 'logic', 'well', 'organis', '']"
kenya power,20230328t173659000z,good evening the listed areas will be affected by planned power interruptions tomorrow 29th march 2023 the interruption is part of network maintenance for the advance notice use ,262.0,65.0,132.0,"['good', 'evening', 'the', 'listed', 'areas', 'will', 'be', 'affected', 'by', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'the', 'interruption', 'is', 'part', 'of', 'network', 'maintenance', 'for', 'the', 'advance', 'notice', 'use', '']","['good', 'evening', 'listed', 'areas', 'affected', 'planned', 'power', 'interruptions', 'tomorrow', '29th', 'march', '2023', 'interruption', 'part', 'network', 'maintenance', 'advance', 'notice', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']","['good', 'even', 'list', 'area', 'affect', 'plan', 'power', 'interrupt', 'tomorrow', '29th', 'march', '2023', 'interrupt', 'part', 'network', 'mainten', 'advanc', 'notic', 'use', '']"
the kenya power  lighting company plc,20230328t104726000z,"tips for writing a successful tender response include the following

 use of the templates provided in the tender document without making changes
 keeping the tender document clear logical and well organised

",95.0,9.0,54.0,"['tips', 'for', 'writing', 'a', 'successful', 'tender', 'response', 'include', 'the', 'following', 'use', 'of', 'the', 'templates', 'provided', 'in', 'the', 'tender', 'document', 'without', 'making', 'changes', 'keeping', 'the', 'tender', 'document', 'clear', 'logical', 'and', 'well', 'organised', '']","['tips', 'writing', 'successful', 'tender', 'response', 'include', 'following', 'use', 'templates', 'provided', 'tender', 'document', 'without', 'making', 'changes', 'keeping', 'tender', 'document', 'clear', 'logical', 'well', 'organised', '']","['tip', 'write', 'success', 'tender', 'respons', 'includ', 'follow', 'use', 'templat', 'provid', 'tender', 'document', 'without', 'make', 'chang', 'keep', 'tender', 'document', 'clear', 'logic', 'well', 'organis', '']","['tip', 'write', 'success', 'tender', 'respons', 'includ', 'follow', 'use', 'templat', 'provid', 'tender', 'document', 'without', 'make', 'chang', 'keep', 'tender', 'document', 'clear', 'logic', 'well', 'organis', '']"
the kenya power  lighting company plc,20230328t093252000z,"1 as per section 861 of ppad act 2015 the successful tender meets the following

 tender with the lowest evaluated price
 responsive proposal with the highest score as per the procedures and criteria set out in the request for proposals

",13.0,3.0,26.0,"['1', 'as', 'per', 'section', '861', 'of', 'ppad', 'act', '2015', 'the', 'successful', 'tender', 'meets', 'the', 'following', 'tender', 'with', 'the', 'lowest', 'evaluated', 'price', 'responsive', 'proposal', 'with', 'the', 'highest', 'score', 'as', 'per', 'the', 'procedures', 'and', 'criteria', 'set', 'out', 'in', 'the', 'request', 'for', 'proposals', '']","['1', 'per', 'section', '861', 'ppad', 'act', '2015', 'successful', 'tender', 'meets', 'following', 'tender', 'lowest', 'evaluated', 'price', 'responsive', 'proposal', 'highest', 'score', 'per', 'procedures', 'criteria', 'set', 'request', 'proposals', '']","['1', 'per', 'section', '861', 'ppad', 'act', '2015', 'success', 'tender', 'meet', 'follow', 'tender', 'lowest', 'evalu', 'price', 'respons', 'propos', 'highest', 'score', 'per', 'procedur', 'criteria', 'set', 'request', 'propos', '']","['1', 'per', 'section', '861', 'ppad', 'act', '2015', 'success', 'tender', 'meet', 'follow', 'tender', 'lowest', 'evalu', 'price', 'respons', 'propos', 'highest', 'score', 'per', 'procedur', 'criterion', 'set', 'request', 'propos', '']"
